"","P","n","parameter","data_size"
"5393",0.8,10,"bayesian-n",100
"5394",0.8,10,"bayesian-n",100
"5395",0.8,10,"bayesian-n",100
"5396",0.8,10,"bayesian-n",100
"5397",0.8,10,"bayesian-n",100
"5398",0.8,10,"bayesian-n",100
"5399",0.8,10,"bayesian-n",100
"5400",0.8,10,"bayesian-n",100
"5401",0.8,10,"bayesian-n",100
"5402",0.9,10,"fiducial-n",10
"5403",0.9,10,"fiducial-n",10
"5404",0.9,10,"fiducial-n",10
"5405",0.9,10,"fiducial-n",10
"5406",0.9,10,"fiducial-n",10
"5407",0.9,10,"fiducial-n",10
"5408",0.9,10,"fiducial-n",10
"5409",0.9,10,"fiducial-n",10
"5410",0.9,10,"fiducial-n",10
"5411",0.9,10,"fiducial-n",10
"5412",0.9,10,"fiducial-n",10
"5413",0.9,10,"fiducial-n",10
"5414",0.9,10,"fiducial-n",10
"5415",0.9,10,"fiducial-n",10
"5416",0.9,10,"fiducial-n",10
"5417",0.9,10,"fiducial-n",10
"5418",0.9,10,"fiducial-n",10
"5419",0.9,10,"fiducial-n",10
"5420",0.9,10,"fiducial-n",10
"5421",0.9,10,"fiducial-n",10
"5422",0.9,10,"fiducial-n",10
"5423",0.9,10,"fiducial-n",10
"5424",0.9,10,"fiducial-n",10
"5425",0.9,10,"fiducial-n",10
"5426",0.9,10,"fiducial-n",10
"5427",0.9,10,"fiducial-n",10
"5428",0.9,10,"fiducial-n",10
"5429",0.9,10,"fiducial-n",10
"5430",0.9,10,"fiducial-n",10
"5431",0.9,10,"fiducial-n",10
"5432",0.9,10,"fiducial-n",10
"5433",0.9,10,"fiducial-n",10
"5434",0.9,10,"fiducial-n",10
"5435",0.9,10,"fiducial-n",10
"5436",0.9,10,"fiducial-n",10
"5437",0.9,10,"fiducial-n",10
"5438",0.9,10,"fiducial-n",10
"5439",0.9,10,"fiducial-n",10
"5440",0.9,10,"fiducial-n",10
"5441",0.9,10,"fiducial-n",10
"5442",0.9,10,"fiducial-n",10
"5443",0.9,10,"fiducial-n",10
"5444",0.9,10,"fiducial-n",10
"5445",0.9,10,"fiducial-n",10
"5446",0.9,10,"fiducial-n",10
"5447",0.9,10,"fiducial-n",10
"5448",0.9,10,"fiducial-n",10
"5449",0.9,10,"fiducial-n",10
"5450",0.9,10,"fiducial-n",10
"5451",0.9,10,"fiducial-n",10
"5452",0.9,10,"fiducial-n",10
"5453",0.9,10,"fiducial-n",10
"5454",0.9,10,"fiducial-n",10
"5455",0.9,10,"fiducial-n",10
"5456",0.9,10,"fiducial-n",10
"5457",0.9,10,"fiducial-n",10
"5458",0.9,10,"fiducial-n",10
"5459",0.9,10,"fiducial-n",10
"5460",0.9,10,"fiducial-n",10
"5461",0.9,10,"fiducial-n",10
"5462",0.9,10,"fiducial-n",10
"5463",0.9,10,"fiducial-n",10
"5464",0.9,10,"fiducial-n",10
"5465",0.9,10,"fiducial-n",10
"5466",0.9,10,"fiducial-n",10
"5467",0.9,10,"fiducial-n",10
"5468",0.9,10,"fiducial-n",10
"5469",0.9,10,"fiducial-n",10
"5470",0.9,10,"fiducial-n",10
"5471",0.9,10,"fiducial-n",10
"5472",0.9,10,"fiducial-n",10
"5473",0.9,10,"fiducial-n",10
"5474",0.9,10,"fiducial-n",10
"5475",0.9,10,"fiducial-n",10
"5476",0.9,10,"fiducial-n",10
"5477",0.9,10,"fiducial-n",10
"5478",0.9,10,"fiducial-n",10
"5479",0.9,10,"fiducial-n",10
"5480",0.9,10,"fiducial-n",10
"5481",0.9,10,"fiducial-n",10
"5482",0.9,10,"fiducial-n",10
"5483",0.9,10,"fiducial-n",10
"5484",0.9,10,"fiducial-n",10
"5485",0.9,10,"fiducial-n",10
"5486",0.9,10,"fiducial-n",10
"5487",0.9,10,"fiducial-n",10
"5488",0.9,10,"fiducial-n",10
"5489",0.9,10,"fiducial-n",10
"5490",0.9,10,"fiducial-n",10
"5491",0.9,10,"fiducial-n",10
"5492",0.9,10,"fiducial-n",10
"5493",0.9,10,"fiducial-n",10
"5494",0.9,10,"fiducial-n",10
"5495",0.9,10,"fiducial-n",10
"5496",0.9,10,"fiducial-n",10
"5497",0.9,10,"fiducial-n",10
"5498",0.9,10,"fiducial-n",10
"5499",0.9,10,"fiducial-n",10
"5500",0.9,10,"fiducial-n",10
"5501",0.9,10,"fiducial-n",10
"5502",0.9,10,"bayesian-n",10
"5503",0.9,10,"bayesian-n",10
"5504",0.9,10,"bayesian-n",10
"5505",0.9,10,"bayesian-n",10
"5506",0.9,10,"bayesian-n",10
"5507",0.9,10,"bayesian-n",10
"5508",0.9,10,"bayesian-n",10
"5509",0.9,10,"bayesian-n",10
"5510",0.9,10,"bayesian-n",10
"5511",0.9,10,"bayesian-n",10
"5512",0.9,10,"bayesian-n",10
"5513",0.9,10,"bayesian-n",10
"5514",0.9,10,"bayesian-n",10
"5515",0.9,10,"bayesian-n",10
"5516",0.9,10,"bayesian-n",10
"5517",0.9,10,"bayesian-n",10
"5518",0.9,10,"bayesian-n",10
"5519",0.9,10,"bayesian-n",10
"5520",0.9,10,"bayesian-n",10
"5521",0.9,10,"bayesian-n",10
"5522",0.9,10,"bayesian-n",10
"5523",0.9,10,"bayesian-n",10
"5524",0.9,10,"bayesian-n",10
"5525",0.9,10,"bayesian-n",10
"5526",0.9,10,"bayesian-n",10
"5527",0.9,10,"bayesian-n",10
"5528",0.9,10,"bayesian-n",10
"5529",0.9,10,"bayesian-n",10
"5530",0.9,10,"bayesian-n",10
"5531",0.9,10,"bayesian-n",10
"5532",0.9,10,"bayesian-n",10
"5533",0.9,10,"bayesian-n",10
"5534",0.9,10,"bayesian-n",10
"5535",0.9,10,"bayesian-n",10
"5536",0.9,10,"bayesian-n",10
"5537",0.9,10,"bayesian-n",10
"5538",0.9,10,"bayesian-n",10
"5539",0.9,10,"bayesian-n",10
"5540",0.9,10,"bayesian-n",10
"5541",0.9,10,"bayesian-n",10
"5542",0.9,10,"bayesian-n",10
"5543",0.9,10,"bayesian-n",10
"5544",0.9,10,"bayesian-n",10
"5545",0.9,10,"bayesian-n",10
"5546",0.9,10,"bayesian-n",10
"5547",0.9,10,"bayesian-n",10
"5548",0.9,10,"bayesian-n",10
"5549",0.9,10,"bayesian-n",10
"5550",0.9,10,"bayesian-n",10
"5551",0.9,10,"bayesian-n",10
"5552",0.9,10,"bayesian-n",10
"5553",0.9,10,"bayesian-n",10
"5554",0.9,10,"bayesian-n",10
"5555",0.9,10,"bayesian-n",10
"5556",0.9,10,"bayesian-n",10
"5557",0.9,10,"bayesian-n",10
"5558",0.9,10,"bayesian-n",10
"5559",0.9,10,"bayesian-n",10
"5560",0.9,10,"bayesian-n",10
"5561",0.9,10,"bayesian-n",10
"5562",0.9,10,"bayesian-n",10
"5563",0.9,10,"bayesian-n",10
"5564",0.9,10,"bayesian-n",10
"5565",0.9,10,"bayesian-n",10
"5566",0.9,10,"bayesian-n",10
"5567",0.9,10,"bayesian-n",10
"5568",0.9,10,"bayesian-n",10
"5569",0.9,10,"bayesian-n",10
"5570",0.9,10,"bayesian-n",10
"5571",0.9,10,"bayesian-n",10
"5572",0.9,10,"bayesian-n",10
"5573",0.9,10,"bayesian-n",10
"5574",0.9,10,"bayesian-n",10
"5575",0.9,10,"bayesian-n",10
"5576",0.9,10,"bayesian-n",10
"5577",0.9,10,"bayesian-n",10
"5578",0.9,10,"bayesian-n",10
"5579",0.9,10,"bayesian-n",10
"5580",0.9,10,"bayesian-n",10
"5581",0.9,10,"bayesian-n",10
"5582",0.9,10,"bayesian-n",10
"5583",0.9,10,"bayesian-n",10
"5584",0.9,10,"bayesian-n",10
"5585",0.9,10,"bayesian-n",10
"5586",0.9,10,"bayesian-n",10
"5587",0.9,10,"bayesian-n",10
"5588",0.9,10,"bayesian-n",10
"5589",0.9,10,"bayesian-n",10
"5590",0.9,10,"bayesian-n",10
"5591",0.9,10,"bayesian-n",10
"5592",0.9,10,"bayesian-n",10
"5593",0.9,10,"bayesian-n",10
"5594",0.9,10,"bayesian-n",10
"5595",0.9,10,"bayesian-n",10
"5596",0.9,10,"bayesian-n",10
"5597",0.9,10,"bayesian-n",10
"5598",0.9,10,"bayesian-n",10
"5599",0.9,10,"bayesian-n",10
"5600",0.9,10,"bayesian-n",10
"5601",0.9,10,"bayesian-n",10
"5602",0.9,10,"fiducial-n",50
"5603",0.9,10,"fiducial-n",50
"5604",0.9,10,"fiducial-n",50
"5605",0.9,10,"fiducial-n",50
"5606",0.9,10,"fiducial-n",50
"5607",0.9,10,"fiducial-n",50
"5608",0.9,10,"fiducial-n",50
"5609",0.9,10,"fiducial-n",50
"5610",0.9,10,"fiducial-n",50
"5611",0.9,10,"fiducial-n",50
"5612",0.9,10,"fiducial-n",50
"5613",0.9,10,"fiducial-n",50
"5614",0.9,10,"fiducial-n",50
"5615",0.9,10,"fiducial-n",50
"5616",0.9,10,"fiducial-n",50
"5617",0.9,10,"fiducial-n",50
"5618",0.9,10,"fiducial-n",50
"5619",0.9,10,"fiducial-n",50
"5620",0.9,10,"fiducial-n",50
"5621",0.9,10,"fiducial-n",50
"5622",0.9,10,"fiducial-n",50
"5623",0.9,10,"fiducial-n",50
"5624",0.9,10,"fiducial-n",50
"5625",0.9,10,"fiducial-n",50
"5626",0.9,10,"fiducial-n",50
"5627",0.9,10,"fiducial-n",50
"5628",0.9,10,"fiducial-n",50
"5629",0.9,10,"fiducial-n",50
"5630",0.9,10,"fiducial-n",50
"5631",0.9,10,"fiducial-n",50
"5632",0.9,10,"fiducial-n",50
"5633",0.9,10,"fiducial-n",50
"5634",0.9,10,"fiducial-n",50
"5635",0.9,10,"fiducial-n",50
"5636",0.9,10,"fiducial-n",50
"5637",0.9,10,"fiducial-n",50
"5638",0.9,10,"fiducial-n",50
"5639",0.9,10,"fiducial-n",50
"5640",0.9,10,"fiducial-n",50
"5641",0.9,10,"fiducial-n",50
"5642",0.9,10,"fiducial-n",50
"5643",0.9,10,"fiducial-n",50
"5644",0.9,10,"fiducial-n",50
"5645",0.9,10,"fiducial-n",50
"5646",0.9,10,"fiducial-n",50
"5647",0.9,10,"fiducial-n",50
"5648",0.9,10,"fiducial-n",50
"5649",0.9,10,"fiducial-n",50
"5650",0.9,10,"fiducial-n",50
"5651",0.9,10,"fiducial-n",50
"5652",0.9,10,"fiducial-n",50
"5653",0.9,10,"fiducial-n",50
"5654",0.9,10,"fiducial-n",50
"5655",0.9,10,"fiducial-n",50
"5656",0.9,10,"fiducial-n",50
"5657",0.9,10,"fiducial-n",50
"5658",0.9,10,"fiducial-n",50
"5659",0.9,10,"fiducial-n",50
"5660",0.9,10,"fiducial-n",50
"5661",0.9,10,"fiducial-n",50
"5662",0.9,10,"fiducial-n",50
"5663",0.9,10,"fiducial-n",50
"5664",0.9,10,"fiducial-n",50
"5665",0.9,10,"fiducial-n",50
"5666",0.9,10,"fiducial-n",50
"5667",0.9,10,"fiducial-n",50
"5668",0.9,10,"fiducial-n",50
"5669",0.9,10,"fiducial-n",50
"5670",0.9,10,"fiducial-n",50
"5671",0.9,10,"fiducial-n",50
"5672",0.9,10,"fiducial-n",50
"5673",0.9,10,"fiducial-n",50
"5674",0.9,10,"fiducial-n",50
"5675",0.9,10,"fiducial-n",50
"5676",0.9,10,"fiducial-n",50
"5677",0.9,10,"fiducial-n",50
"5678",0.9,10,"fiducial-n",50
"5679",0.9,10,"fiducial-n",50
"5680",0.9,10,"fiducial-n",50
"5681",0.9,10,"fiducial-n",50
"5682",0.9,10,"fiducial-n",50
"5683",0.9,10,"fiducial-n",50
"5684",0.9,10,"fiducial-n",50
"5685",0.9,10,"fiducial-n",50
"5686",0.9,10,"fiducial-n",50
"5687",0.9,10,"fiducial-n",50
"5688",0.9,10,"fiducial-n",50
"5689",0.9,10,"fiducial-n",50
"5690",0.9,10,"fiducial-n",50
"5691",0.9,10,"fiducial-n",50
"5692",0.9,10,"fiducial-n",50
"5693",0.9,10,"fiducial-n",50
"5694",0.9,10,"fiducial-n",50
"5695",0.9,10,"fiducial-n",50
"5696",0.9,10,"fiducial-n",50
"5697",0.9,10,"fiducial-n",50
"5698",0.9,10,"fiducial-n",50
"5699",0.9,10,"fiducial-n",50
"5700",0.9,10,"fiducial-n",50
"5701",0.9,10,"fiducial-n",50
"5702",0.9,10,"bayesian-n",50
"5703",0.9,10,"bayesian-n",50
"5704",0.9,10,"bayesian-n",50
"5705",0.9,10,"bayesian-n",50
"5706",0.9,10,"bayesian-n",50
"5707",0.9,10,"bayesian-n",50
"5708",0.9,10,"bayesian-n",50
"5709",0.9,10,"bayesian-n",50
"5710",0.9,10,"bayesian-n",50
"5711",0.9,10,"bayesian-n",50
"5712",0.9,10,"bayesian-n",50
"5713",0.9,10,"bayesian-n",50
"5714",0.9,10,"bayesian-n",50
"5715",0.9,10,"bayesian-n",50
"5716",0.9,10,"bayesian-n",50
"5717",0.9,10,"bayesian-n",50
"5718",0.9,10,"bayesian-n",50
"5719",0.9,10,"bayesian-n",50
"5720",0.9,10,"bayesian-n",50
"5721",0.9,10,"bayesian-n",50
"5722",0.9,10,"bayesian-n",50
"5723",0.9,10,"bayesian-n",50
"5724",0.9,10,"bayesian-n",50
"5725",0.9,10,"bayesian-n",50
"5726",0.9,10,"bayesian-n",50
"5727",0.9,10,"bayesian-n",50
"5728",0.9,10,"bayesian-n",50
"5729",0.9,10,"bayesian-n",50
"5730",0.9,10,"bayesian-n",50
"5731",0.9,10,"bayesian-n",50
"5732",0.9,10,"bayesian-n",50
"5733",0.9,10,"bayesian-n",50
"5734",0.9,10,"bayesian-n",50
"5735",0.9,10,"bayesian-n",50
"5736",0.9,10,"bayesian-n",50
"5737",0.9,10,"bayesian-n",50
"5738",0.9,10,"bayesian-n",50
"5739",0.9,10,"bayesian-n",50
"5740",0.9,10,"bayesian-n",50
"5741",0.9,10,"bayesian-n",50
"5742",0.9,10,"bayesian-n",50
"5743",0.9,10,"bayesian-n",50
"5744",0.9,10,"bayesian-n",50
"5745",0.9,10,"bayesian-n",50
"5746",0.9,10,"bayesian-n",50
"5747",0.9,10,"bayesian-n",50
"5748",0.9,10,"bayesian-n",50
"5749",0.9,10,"bayesian-n",50
"5750",0.9,10,"bayesian-n",50
"5751",0.9,10,"bayesian-n",50
"5752",0.9,10,"bayesian-n",50
"5753",0.9,10,"bayesian-n",50
"5754",0.9,10,"bayesian-n",50
"5755",0.9,10,"bayesian-n",50
"5756",0.9,10,"bayesian-n",50
"5757",0.9,10,"bayesian-n",50
"5758",0.9,10,"bayesian-n",50
"5759",0.9,10,"bayesian-n",50
"5760",0.9,10,"bayesian-n",50
"5761",0.9,10,"bayesian-n",50
"5762",0.9,10,"bayesian-n",50
"5763",0.9,10,"bayesian-n",50
"5764",0.9,10,"bayesian-n",50
"5765",0.9,10,"bayesian-n",50
"5766",0.9,10,"bayesian-n",50
"5767",0.9,10,"bayesian-n",50
"5768",0.9,10,"bayesian-n",50
"5769",0.9,10,"bayesian-n",50
"5770",0.9,10,"bayesian-n",50
"5771",0.9,10,"bayesian-n",50
"5772",0.9,10,"bayesian-n",50
"5773",0.9,10,"bayesian-n",50
"5774",0.9,10,"bayesian-n",50
"5775",0.9,10,"bayesian-n",50
"5776",0.9,10,"bayesian-n",50
"5777",0.9,10,"bayesian-n",50
"5778",0.9,10,"bayesian-n",50
"5779",0.9,10,"bayesian-n",50
"5780",0.9,10,"bayesian-n",50
"5781",0.9,10,"bayesian-n",50
"5782",0.9,10,"bayesian-n",50
"5783",0.9,10,"bayesian-n",50
"5784",0.9,10,"bayesian-n",50
"5785",0.9,10,"bayesian-n",50
"5786",0.9,10,"bayesian-n",50
"5787",0.9,10,"bayesian-n",50
"5788",0.9,10,"bayesian-n",50
"5789",0.9,10,"bayesian-n",50
"5790",0.9,10,"bayesian-n",50
"5791",0.9,10,"bayesian-n",50
"5792",0.9,10,"bayesian-n",50
"5793",0.9,10,"bayesian-n",50
"5794",0.9,10,"bayesian-n",50
"5795",0.9,10,"bayesian-n",50
"5796",0.9,10,"bayesian-n",50
"5797",0.9,10,"bayesian-n",50
"5798",0.9,10,"bayesian-n",50
"5799",0.9,10,"bayesian-n",50
"5800",0.9,10,"bayesian-n",50
"5801",0.9,10,"bayesian-n",50
"5802",0.9,10,"fiducial-n",100
"5803",0.9,10,"fiducial-n",100
"5804",0.9,10,"fiducial-n",100
"5805",0.9,10,"fiducial-n",100
"5806",0.9,10,"fiducial-n",100
"5807",0.9,10,"fiducial-n",100
"5808",0.9,10,"fiducial-n",100
"5809",0.9,10,"fiducial-n",100
"5810",0.9,10,"fiducial-n",100
"5811",0.9,10,"fiducial-n",100
"5812",0.9,10,"fiducial-n",100
"5813",0.9,10,"fiducial-n",100
"5814",0.9,10,"fiducial-n",100
"5815",0.9,10,"fiducial-n",100
"5816",0.9,10,"fiducial-n",100
"5817",0.9,10,"fiducial-n",100
"5818",0.9,10,"fiducial-n",100
"5819",0.9,10,"fiducial-n",100
"5820",0.9,10,"fiducial-n",100
"5821",0.9,10,"fiducial-n",100
"5822",0.9,10,"fiducial-n",100
"5823",0.9,10,"fiducial-n",100
"5824",0.9,10,"fiducial-n",100
"5825",0.9,10,"fiducial-n",100
"5826",0.9,10,"fiducial-n",100
"5827",0.9,10,"fiducial-n",100
"5828",0.9,10,"fiducial-n",100
"5829",0.9,10,"fiducial-n",100
"5830",0.9,10,"fiducial-n",100
"5831",0.9,10,"fiducial-n",100
"5832",0.9,10,"fiducial-n",100
"5833",0.9,10,"fiducial-n",100
"5834",0.9,10,"fiducial-n",100
"5835",0.9,10,"fiducial-n",100
"5836",0.9,10,"fiducial-n",100
"5837",0.9,10,"fiducial-n",100
"5838",0.9,10,"fiducial-n",100
"5839",0.9,10,"fiducial-n",100
"5840",0.9,10,"fiducial-n",100
"5841",0.9,10,"fiducial-n",100
"5842",0.9,10,"fiducial-n",100
"5843",0.9,10,"fiducial-n",100
"5844",0.9,10,"fiducial-n",100
"5845",0.9,10,"fiducial-n",100
"5846",0.9,10,"fiducial-n",100
"5847",0.9,10,"fiducial-n",100
"5848",0.9,10,"fiducial-n",100
"5849",0.9,10,"fiducial-n",100
"5850",0.9,10,"fiducial-n",100
"5851",0.9,10,"fiducial-n",100
"5852",0.9,10,"fiducial-n",100
"5853",0.9,10,"fiducial-n",100
"5854",0.9,10,"fiducial-n",100
"5855",0.9,10,"fiducial-n",100
"5856",0.9,10,"fiducial-n",100
"5857",0.9,10,"fiducial-n",100
"5858",0.9,10,"fiducial-n",100
"5859",0.9,10,"fiducial-n",100
"5860",0.9,10,"fiducial-n",100
"5861",0.9,10,"fiducial-n",100
"5862",0.9,10,"fiducial-n",100
"5863",0.9,10,"fiducial-n",100
"5864",0.9,10,"fiducial-n",100
"5865",0.9,10,"fiducial-n",100
"5866",0.9,10,"fiducial-n",100
"5867",0.9,10,"fiducial-n",100
"5868",0.9,10,"fiducial-n",100
"5869",0.9,10,"fiducial-n",100
"5870",0.9,10,"fiducial-n",100
"5871",0.9,10,"fiducial-n",100
"5872",0.9,10,"fiducial-n",100
"5873",0.9,10,"fiducial-n",100
"5874",0.9,10,"fiducial-n",100
"5875",0.9,10,"fiducial-n",100
"5876",0.9,10,"fiducial-n",100
"5877",0.9,10,"fiducial-n",100
"5878",0.9,10,"fiducial-n",100
"5879",0.9,10,"fiducial-n",100
"5880",0.9,10,"fiducial-n",100
"5881",0.9,10,"fiducial-n",100
"5882",0.9,10,"fiducial-n",100
"5883",0.9,10,"fiducial-n",100
"5884",0.9,10,"fiducial-n",100
"5885",0.9,10,"fiducial-n",100
"5886",0.9,10,"fiducial-n",100
"5887",0.9,10,"fiducial-n",100
"5888",0.9,10,"fiducial-n",100
"5889",0.9,10,"fiducial-n",100
"5890",0.9,10,"fiducial-n",100
"5891",0.9,10,"fiducial-n",100
"5892",0.9,10,"fiducial-n",100
"5893",0.9,10,"fiducial-n",100
"5894",0.9,10,"fiducial-n",100
"5895",0.9,10,"fiducial-n",100
"5896",0.9,10,"fiducial-n",100
"5897",0.9,10,"fiducial-n",100
"5898",0.9,10,"fiducial-n",100
"5899",0.9,10,"fiducial-n",100
"5900",0.9,10,"fiducial-n",100
"5901",0.9,10,"fiducial-n",100
"5902",0.9,10,"bayesian-n",100
"5903",0.9,10,"bayesian-n",100
"5904",0.9,10,"bayesian-n",100
"5905",0.9,10,"bayesian-n",100
"5906",0.9,10,"bayesian-n",100
"5907",0.9,10,"bayesian-n",100
"5908",0.9,10,"bayesian-n",100
"5909",0.9,10,"bayesian-n",100
"5910",0.9,10,"bayesian-n",100
"5911",0.9,10,"bayesian-n",100
"5912",0.9,10,"bayesian-n",100
"5913",0.9,10,"bayesian-n",100
"5914",0.9,10,"bayesian-n",100
"5915",0.9,10,"bayesian-n",100
"5916",0.9,10,"bayesian-n",100
"5917",0.9,10,"bayesian-n",100
"5918",0.9,10,"bayesian-n",100
"5919",0.9,10,"bayesian-n",100
"5920",0.9,10,"bayesian-n",100
"5921",0.9,10,"bayesian-n",100
"5922",0.9,10,"bayesian-n",100
"5923",0.9,10,"bayesian-n",100
"5924",0.9,10,"bayesian-n",100
"5925",0.9,10,"bayesian-n",100
"5926",0.9,10,"bayesian-n",100
"5927",0.9,10,"bayesian-n",100
"5928",0.9,10,"bayesian-n",100
"5929",0.9,10,"bayesian-n",100
"5930",0.9,10,"bayesian-n",100
"5931",0.9,10,"bayesian-n",100
"5932",0.9,10,"bayesian-n",100
"5933",0.9,10,"bayesian-n",100
"5934",0.9,10,"bayesian-n",100
"5935",0.9,10,"bayesian-n",100
"5936",0.9,10,"bayesian-n",100
"5937",0.9,10,"bayesian-n",100
"5938",0.9,10,"bayesian-n",100
"5939",0.9,10,"bayesian-n",100
"5940",0.9,10,"bayesian-n",100
"5941",0.9,10,"bayesian-n",100
"5942",0.9,10,"bayesian-n",100
"5943",0.9,10,"bayesian-n",100
"5944",0.9,10,"bayesian-n",100
"5945",0.9,10,"bayesian-n",100
"5946",0.9,10,"bayesian-n",100
"5947",0.9,10,"bayesian-n",100
"5948",0.9,10,"bayesian-n",100
"5949",0.9,10,"bayesian-n",100
"5950",0.9,10,"bayesian-n",100
"5951",0.9,10,"bayesian-n",100
"5952",0.9,10,"bayesian-n",100
"5953",0.9,10,"bayesian-n",100
"5954",0.9,10,"bayesian-n",100
"5955",0.9,10,"bayesian-n",100
"5956",0.9,10,"bayesian-n",100
"5957",0.9,10,"bayesian-n",100
"5958",0.9,10,"bayesian-n",100
"5959",0.9,10,"bayesian-n",100
"5960",0.9,10,"bayesian-n",100
"5961",0.9,10,"bayesian-n",100
"5962",0.9,10,"bayesian-n",100
"5963",0.9,10,"bayesian-n",100
"5964",0.9,10,"bayesian-n",100
"5965",0.9,10,"bayesian-n",100
"5966",0.9,10,"bayesian-n",100
"5967",0.9,10,"bayesian-n",100
"5968",0.9,10,"bayesian-n",100
"5969",0.9,10,"bayesian-n",100
"5970",0.9,10,"bayesian-n",100
"5971",0.9,10,"bayesian-n",100
"5972",0.9,10,"bayesian-n",100
"5973",0.9,10,"bayesian-n",100
"5974",0.9,10,"bayesian-n",100
"5975",0.9,10,"bayesian-n",100
"5976",0.9,10,"bayesian-n",100
"5977",0.9,10,"bayesian-n",100
"5978",0.9,10,"bayesian-n",100
"5979",0.9,10,"bayesian-n",100
"5980",0.9,10,"bayesian-n",100
"5981",0.9,10,"bayesian-n",100
"5982",0.9,10,"bayesian-n",100
"5983",0.9,10,"bayesian-n",100
"5984",0.9,10,"bayesian-n",100
"5985",0.9,10,"bayesian-n",100
"5986",0.9,10,"bayesian-n",100
"5987",0.9,10,"bayesian-n",100
"5988",0.9,10,"bayesian-n",100
"5989",0.9,10,"bayesian-n",100
"5990",0.9,10,"bayesian-n",100
"5991",0.9,10,"bayesian-n",100
"5992",0.9,10,"bayesian-n",100
"5993",0.9,10,"bayesian-n",100
"5994",0.9,10,"bayesian-n",100
"5995",0.9,10,"bayesian-n",100
"5996",0.9,10,"bayesian-n",100
"5997",0.9,10,"bayesian-n",100
"5998",0.9,10,"bayesian-n",100
"5999",0.9,10,"bayesian-n",100
"6000",0.9,10,"bayesian-n",100
"6001",0.9,10,"bayesian-n",100
"6002",0.95,10,"fiducial-n",10
"6003",0.95,10,"fiducial-n",10
"6004",0.95,10,"fiducial-n",10
"6005",0.95,10,"fiducial-n",10
"6006",0.95,10,"fiducial-n",10
"6007",0.95,10,"fiducial-n",10
"6008",0.95,10,"fiducial-n",10
"6009",0.95,10,"fiducial-n",10
"6010",0.95,10,"fiducial-n",10
"6011",0.95,10,"fiducial-n",10
"6012",0.95,10,"fiducial-n",10
"6013",0.95,10,"fiducial-n",10
"6014",0.95,10,"fiducial-n",10
"6015",0.95,10,"fiducial-n",10
"6016",0.95,10,"fiducial-n",10
"6017",0.95,10,"fiducial-n",10
"6018",0.95,10,"fiducial-n",10
"6019",0.95,10,"fiducial-n",10
"6020",0.95,10,"fiducial-n",10
"6021",0.95,10,"fiducial-n",10
"6022",0.95,10,"fiducial-n",10
"6023",0.95,10,"fiducial-n",10
"6024",0.95,10,"fiducial-n",10
"6025",0.95,10,"fiducial-n",10
"6026",0.95,10,"fiducial-n",10
"6027",0.95,10,"fiducial-n",10
"6028",0.95,10,"fiducial-n",10
"6029",0.95,10,"fiducial-n",10
"6030",0.95,10,"fiducial-n",10
"6031",0.95,10,"fiducial-n",10
"6032",0.95,10,"fiducial-n",10
"6033",0.95,10,"fiducial-n",10
"6034",0.95,10,"fiducial-n",10
"6035",0.95,10,"fiducial-n",10
"6036",0.95,10,"fiducial-n",10
"6037",0.95,10,"fiducial-n",10
"6038",0.95,10,"fiducial-n",10
"6039",0.95,10,"fiducial-n",10
"6040",0.95,10,"fiducial-n",10
"6041",0.95,10,"fiducial-n",10
"6042",0.95,10,"fiducial-n",10
"6043",0.95,10,"fiducial-n",10
"6044",0.95,10,"fiducial-n",10
"6045",0.95,10,"fiducial-n",10
"6046",0.95,10,"fiducial-n",10
"6047",0.95,10,"fiducial-n",10
"6048",0.95,10,"fiducial-n",10
"6049",0.95,10,"fiducial-n",10
"6050",0.95,10,"fiducial-n",10
"6051",0.95,10,"fiducial-n",10
"6052",0.95,10,"fiducial-n",10
"6053",0.95,10,"fiducial-n",10
"6054",0.95,10,"fiducial-n",10
"6055",0.95,10,"fiducial-n",10
"6056",0.95,10,"fiducial-n",10
"6057",0.95,10,"fiducial-n",10
"6058",0.95,10,"fiducial-n",10
"6059",0.95,10,"fiducial-n",10
"6060",0.95,10,"fiducial-n",10
"6061",0.95,10,"fiducial-n",10
"6062",0.95,10,"fiducial-n",10
"6063",0.95,10,"fiducial-n",10
"6064",0.95,10,"fiducial-n",10
"6065",0.95,10,"fiducial-n",10
"6066",0.95,10,"fiducial-n",10
"6067",0.95,10,"fiducial-n",10
"6068",0.95,10,"fiducial-n",10
"6069",0.95,10,"fiducial-n",10
"6070",0.95,10,"fiducial-n",10
"6071",0.95,10,"fiducial-n",10
"6072",0.95,10,"fiducial-n",10
"6073",0.95,10,"fiducial-n",10
"6074",0.95,10,"fiducial-n",10
"6075",0.95,10,"fiducial-n",10
"6076",0.95,10,"fiducial-n",10
"6077",0.95,10,"fiducial-n",10
"6078",0.95,10,"fiducial-n",10
"6079",0.95,10,"fiducial-n",10
"6080",0.95,10,"fiducial-n",10
"6081",0.95,10,"fiducial-n",10
"6082",0.95,10,"fiducial-n",10
"6083",0.95,10,"fiducial-n",10
"6084",0.95,10,"fiducial-n",10
"6085",0.95,10,"fiducial-n",10
"6086",0.95,10,"fiducial-n",10
"6087",0.95,10,"fiducial-n",10
"6088",0.95,10,"fiducial-n",10
"6089",0.95,10,"fiducial-n",10
"6090",0.95,10,"fiducial-n",10
"6091",0.95,10,"fiducial-n",10
